37,X、Y、Z均为短周期主族元素，它们原子的最外层电子数之和为10。X与Z同族，Y最外层电子数等于X次外层电子数，且Y原子半径大于Z。下列叙述正确的是,熔点：X的氧化物比Y的氧化物高,Y的单质与Z的单质均能溶于浓酸,X与Z可形成离子化合物ZX,热稳定性：X的氢化物大于Z的氢化物,D,题目：X、Y、Z均为短周期主族元素，它们原子的最外层电子数之和为10。X与Z同族，Y最外层电子数等于X次外层电子数，且Y原子半径大于Z。下列叙述正确的是答案是：D解析：- X、Y、Z都是短周期主族元素，最外层电子数之和为10。- X与Z同族，说明它们的最外层电子数相同。- 设X的最外层电子数为a，次外层电子数为b（对于第二周期元素，次外层即K层，恒为2）。- Y最外层电子数等于X次外层电子数，即Y的最外层电子数为2。- Y原子半径大于Z，说明Y的核电荷数小于Z（核电荷数越大，原子半径越小）。假设X的最外层电子数为n，则X的电子排布可能为2(n-2)n（第二周期）或2(n-2)n(n-2)n（第三周期）。但考虑到最外层电子数之和为10，我们分析如下：1. 如果X为第二周期元素，其电子排布只能为He (2) + n (n) = 10 - 2 = 8，即n=8，这不可能。2. 如果X为第三周期元素，设X的最外层电子数为n，则X的电子排布为2+8+n=10，解得n=0（不合理），或者X为Mg (12) + n (6) = 10，解得n=2。所以X可能是Mg（镁）或Be（铍），但考虑到Y的最外层电子数为2，Y只能是Be，Z也是Be的同族元素，只能是Mg。综上所述，X是Mg，Y是Be，Z是Mg。- A选项：Be的氧化物BeO是离子化合物，Mg的氧化物MgO也是离子化合物，无法确定谁的熔点更高，此选项错误。- B选项：Be的单质（金属）和Mg的单质都不溶于浓酸，此选项错误。- C选项：Mg和Be不能形成离子化合物，因为它们都在同一
38,关于下列诗句或谚语，下列说法不正确的是,“忽闻海上有仙山，山在虚无缥缈间”的海市蜃楼是一种自然现象，与胶体知识有关,“滴水石穿、绳锯木断”不包含化学变化,“落汤螃蟹着红袍”肯定发生了化学变化,“水乳交融，火上浇油”前者包含物理变化，而后者包含化学变化,B,B解释如下：题目：关于下列诗句或谚语，下列说法不正确的是A. “忽闻海上有仙山，山在虚无缥缈间”的海市蜃楼是一种自然现象，与胶体知识有关 - 正确（海市蜃楼与光的折射和全反射有关，涉及胶体的知识）。B. “滴水石穿、绳锯木断”不包含化学变化 - 不正确（虽然主要涉及物理磨损，但长期作用下可能会有微小的化学变化，如矿物溶解等）。C. “落汤螃蟹着红袍”肯定发生了化学变化 - 正确（螃蟹变红通常是因为蛋白质结构改变导致的颜色变化，属于化学变化）。D. “水乳交融，火上浇油”前者包含物理变化，而后者包含化学变化 - 正确（水乳交融指的是液体混合，是物理变化；火上浇油是指燃烧，是化学变化）。因此，不正确的说法是 B。
39,设NA是阿伏加德罗常数的值，下列说法正确的是,1 mol Cl2与足量的铁反应转移的电子数与1 mol铁与足量的Cl2反应转移的电子数相等,某温度下纯水的pH＝6，该温度下10 L pH＝11的NaOH溶液中含OH－的数目为NA,在标准状况下，11.2 L NO与11.2 L O2混合后所含分子数为0.75NA,0.5 mol·L^－1 Na2SO4溶液中含有的阴、阳离子总数为1.5NA,B,答案是：A解析如下：A. 1 mol Cl2与足量的铁反应转移的电子数（2mol e-），1 mol铁与足量的Cl2反应转移的电子数也是2mol e-，所以两者相等，此选项正确。B. 温度影响水的离子积常数Kw，但题目没有提供具体温度，无法确定10 L pH＝11的NaOH溶液中含OH－的确切数目，因此不能确定是否为NA个。C. 一氧化氮(NO)和氧气(O2)反应生成二氧化氮(NO2)，11.2 L NO与11.2 L O2完全反应后剩余NO和NO2的混合气体，最终分子数小于0.75NA。D. 0.5 mol·L^-1 Na2SO4溶液中每升含有0.5 mol Na2SO4，即1 mol Na+ 和 0.5 mol SO4^2-，所以每升溶液中阴、阳离子总数为1.5 mol，但在未指定体积的情况下，不能直接得出1.5NA个离子。综上所述，只有A选项描述的情况是正确的。
40,短周期元素W、X、Y、Z位于同一周期，其原子序数依次增大，W原子半径最大，Z最高价氧化物的水化物酸性最强，Y的单质与盐酸、氢氧化钠均能反应生成氢气。据此判断下列说法正确的是,工业上电解熔融的Y、Z的化合物可得Y单质,X的单质在氧气中燃烧的产物中含离子键、共价键,W、Z形成的化合物在水溶液中能电离,Y的单质在空气中加热不会熔化,C,B解析：- W原子半径最大，说明W是碱金属中最轻的锂（Li）。- Z的最高价氧化物的水化物酸性最强，说明Z是氯（Cl）。- Y的单质能与盐酸和氢氧化钠反应生成氢气，说明Y既可以与酸反应也可以与碱反应，这表明Y是铝（Al）。- X的原子序数介于W（锂）和Y（铝）之间，且位于同一周期，所以X是碳（C）。综上所述，短周期元素W（锂）、X（碳）、Y（铝）、Z（氯）的排列符合上述条件。因此：- A. 工业上电解熔融的Y（铝）和Z（氯）的化合物（AlCl3）确实可以得到铝单质，但题目要求判断说法是否正确，而不是描述工业过程。- B. X（碳）的单质在氧气中燃烧生成二氧化碳，其中含有离子键（CO3^2-中的O-C-O）和共价键（C-O），这个说法正确。- C. W（锂）和Z（氯）形成的化合物如LiCl在水中能电离，这个说法正确，但题目要求选择一个正确的说法，而非多个。- D. Y（铝）的单质在空气中加热会先熔化再燃烧，这个说法错误。因此，最符合题意的答案是B。
41,设NA为阿伏加德罗常数的值，下列叙述正确的是,用石墨作电极电解饱和食盐水时，若阴极得到2NA个电子，则阳极产生22.4 L气体,常温常压下，Na2O2与足量H2O反应，共生成0.2 mol O2，转移电子的数目为0.4NA,2 L 0.05 mol·L^－1乙酸溶液中H＋数目为0.1NA,等物质的量的Na2O和Na2O2中含有的阴离子总数不同,B,B
42,下列各组中的反应，属于同一反应类型的是,乙烷和氯气制氯乙烷；乙烯与氯化氢反应制氯乙烷,乙醇和氧气制乙醛；苯和氢气制环己烷,葡萄糖与新制氢氧化铜共热；蔗糖与稀硫酸共热,乙醇和乙酸制乙酸乙酯；苯的硝化反应,D,答案是：A解析：A项中的两个反应都是取代反应。乙烷和氯气在光照条件下发生取代反应生成氯乙烷；乙烯与氯化氢加成反应生成氯乙烷。其他选项中的反应类型不同：- B项中，乙醇氧化生成乙醛是氧化反应，而苯加氢生成环己烷是加成反应。- C项中，葡萄糖与氢氧化铜共热是氧化反应（银镜反应），而蔗糖水解生成葡萄糖和果糖是水解反应。- D项中，乙醇和乙酸酯化生成乙酸乙酯是酯化反应（即取代反应的一种），而苯的硝化反应是取代反应，但与酯化反应不属于同一类基本反应类型。
43,原子结构决定元素的性质，下列说法中正确的是,第二周期元素的最高正化合价都等于其原子的最外层电子数,非金属元素的非金属性越强，其氧化物对应水化物的酸性也一定越强,Na、Al、Cl的原子半径依次减小，Na＋、Al3＋、Cl－的离子半径也依次减小,在第ⅥA族元素的氢化物(H2R)中，热稳定性最强的其沸点也一定最高,D,题目：原子结构决定元素的性质，下列说法中正确的是A. 第二周期元素的最高正化合价都等于其原子的最外层电子数B. 非金属元素的非金属性越强，其氧化物对应水化物的酸性也一定越强C. Na、Al、Cl的原子半径依次减小，Na＋、Al3＋、Cl－的离子半径也依次减小D. 在第ⅥA族元素的氢化物(H2R)中，热稳定性最强的其沸点也一定最高答案是：C解析：- A选项不完全正确，第二周期的氧和氟没有正价态。- B选项不正确，例如氯的非金属性很强，但它的最高价氧化物对应水化物（高氯酸）并不是最强的无机酸。- C选项正确，Na、Al、Cl的原子半径依次减小，由于它们的价电子都在第三层，而核电荷数依次增加，导致核对价电子的吸引力增强，因此离子半径也依次减小。- D选项不一定正确，氢化物的沸点除了受热稳定性影响外，还受到分子间作用力的影响。例如，在第ⅥA族元素的氢化物中，虽然H2S的热稳定性不如H2Se，但由于H2S分子间存在较强的氢键，其沸点反而高于H2Se。
44,化学与生命、材料、能源等科学密切联系。下列有关化学发展方向的说法不正确的是,研发高效、高残留农药，提高粮食产量,研发新药物，预防和治疗人类的疾病,开发光电转换材料，充分利用太阳能,开发高效的模拟酶催化剂，减少对化肥的依赖,A,A
45,战国所著《周礼》中记载沿海古人“煤饼烧蛎房成灰”(“蛎房”即牡蛎壳)，并把这种灰称为“蜃”。蔡伦改进的造纸术，第一步沤浸树皮脱胶的碱液可用“蜃”溶于水制得。“蜃”的主要成分是,NaHCO3,SiO2,CaCO3,CaO ,D,D
46,下列关于仪器使用的说法正确的是,振荡分液漏斗时应关闭其玻璃塞和活塞,锥形瓶用作反应容器时一定不能加热,银镜反应后的试管用浓硝酸洗涤，以加快银的溶解,滴定管装滴定液时应先用蒸馏水润洗,A,答案是：A
47,“蒸发浓缩”需选用的仪器除了圆底烧瓶、蒸馏头、温度计、接收管之外，还有,直形冷凝管,烧杯,锥形瓶,球形冷凝管,A,A
48,下列进行性质比较的实验，不合理的是,比较Cu、Fe的还原性：铜加入硫酸铁溶液中,比较镁的金属性强于铝：取一小段除去氧化膜的镁带和铝片，分别加入1.0 mol·L－1的盐酸中,比较高锰酸钾的氧化性强于氯气：高锰酸钾中加入浓盐酸,比较氯的非金属性强于溴：溴化钠溶液中通入氯气,A,答案是：A解释：选项A中的实验不合理，因为铜不会与硫酸铁溶液发生置换反应，无法通过此实验比较Cu和Fe的还原性。其他选项的实验设计都是合理的。
49,下列实验的现象、解释或结论均正确的是,实验:在新制氯水中加入碳酸钙粉末，充分搅拌，氯水的漂白性增强。解释或结论：氯水中HClO的物质的量浓度增大。,实验:用蒸馏法能将溶解在CCl4中的碘分离出来。解释或结论：因为碘易升华，先分离出来。,实验:向某溶液中逐渐通入CO2气体，先出现白色胶状沉淀，继续通入CO2气体，白色胶状沉淀不溶解，证明该溶液中存在AL3+。解释或结论：Al(OH)3是两性氢氧化物，不溶于碳酸溶液。,实验:向Fe(NO3)2溶液中滴入硫酸酸化的H2O2溶液，则溶液变为黄色。解释或结论：氧化性：H2O2>Fe3＋。,C,A题目：下列实验的现象、解释或结论均正确的是A. 实验:在新制氯水中加入碳酸钙粉末，充分搅拌，氯水的漂白性增强。解释或结论：氯水中HClO的物质的量浓度增大。答案是：A
50,世界卫生组织癌症专门机构指认“大气污染对人类致癌”。下列行为有利于防止大气污染、遏制雾霾天气发生的是,冬季燃烧大量烟煤供热取暖,加大石油的开发和进口，满足交通业的需求,提倡乘坐地铁、公交车，减少驾驶私家车,在田间焚烧秸杆,C,C题目总结及答案：1. 分子式为C4H8Cl2的同分异构体有(不考虑立体异构) - C (9种)2. 下列我国古代发明中，不涉及化学反应的是 - C (打磨磁石制指南针)3. 下列物质性质与应用对应关系正确的是 - D (氢氧化铝具有弱碱性，可用于制胃酸中和剂)4. 可用于防冻剂的物质中，含有氮元素的有机物是 - A (尿素[CO(NH2)2])5. 分子式为C4H10O并能与金属钠反应放出氢气的有机物有 - C (4种)6. 有利于防止大气污染、遏制雾霾天气发生的是 - C (提倡乘坐地铁、公交车，减少驾驶私家车)
51,下列说法正确的是,若保持温度不变，向氨水中通入一定量HCl气体，会减小的是c(OH－)/c(H＋）,足量的NaHSO3溶液和Na2CO3溶液混合后K1(H2SO3)>K1(H2CO3)>K2(H2SO3)>K2(H2CO3),同温同浓度的NaHCO3溶液和CH3COONa溶液的pH数值前者小于后者,中和25 mL 0.1 mol·L－1 NaOH溶液所需CH3COOH和HCl的物质的量前者小于后者,A,答案是：A解析：- A. 若保持温度不变，向氨水中通入一定量HCl气体，会发生如下反应：NH₃ + HCl → NH₄Cl，这会导致溶液中的c(OH⁻)减少，而c(H⁺)增加，因此c(OH⁻)/c(H⁺)的比值会减小。- B. NaHSO₃和Na₂CO₃都是弱酸强碱盐，它们水解产生的H⁺和OH⁻都会影响溶液的pH值，但根据酸的Ka值，H₂SO₃的酸性大于H₂CO₃，所以K₁(H₂SO₃) > K₁(H₂CO₃)，但是H₂SO₃进一步水解出H⁺的能力不如H₂CO₃，因此K₂(H₂SO₃) < K₂(H₂CO₃)。所以这个选项的排序是错误的。- C. NaHCO₃和CH₃COONa都是弱酸强碱盐，但CH₃COONa的水解程度更大（因为CH₃COO⁻的水解常数Kb比HCO₃⁻的更大），因此CH₃COONa溶液的pH值应该更大，即pH数值前者大于后者。- D. 对于等体积、等浓度的NaOH溶液，CH₃COOH和HCl与之完全中和所需的物质的量取决于各自的电离度。通常情况下，CH₃COOH是弱电解质，其电离度小于HCl，因此需要更多的CH₃COOH来中和等量的NaOH，故所需CH₃COOH的物质的量应大于HCl。
52,元素周期律和周期表揭示了元素之间的内在联系，反映了元素性质与它的原子结构的关系。下列有关性质的大小关系符合元素周期律的是,酸性：HNO3＞H3BO3＞H2CO3,稳定性：HF＞PH3＞H2O,金属性：K＞Mg＞Al,碱性：Be(OH)2＞Mg(OH)2＞Ca(OH)2,C,题目：元素周期律和周期表揭示了元素之间的内在联系，反映了元素性质与它的原子结构的关系。下列有关性质的大小关系符合元素周期律的是A. 酸性：HNO3＞H3BO3＞H2CO3B. 稳定性：HF＞PH3＞H2OC. 金属性：K＞Mg＞AlD. 碱性：Be(OH)2＞Mg(OH)2＞Ca(OH)2答案是：C
53,下列有关叙述正确的是,H2SO4、Na2CO3、FeCl3、NaOH中能两两发生反应的物质共有4组,向FeI2溶液中加入盐酸和过量的H2O2：2I^－＋H2O2＋2H^＋===I2＋2H2O,向AlCl3溶液中加入氨水制Al(OH)3：Al^3＋＋3OH－===Al(OH)3,向CuCl2溶液中加入少量氨水：Cu2＋＋2OH－===Cu(OH)2,A,答案是：B解析：- A项中，H2SO4和Na2CO3、FeCl3和NaOH之间确实可以发生反应，但Na2CO3和FeCl3之间不会直接反应生成沉淀或气体，因此能两两反应的物质不是4组，而是3组。- B项描述的是向FeI2溶液中加入盐酸和过量的H2O2的反应，这个描述是正确的。- C项中，AlCl3溶液中加入氨水制备Al(OH)3应该是Al^3+ + 3NH3·H2O === Al(OH)3↓ + 3NH4+，而不是直接生成Al(OH)3。- D项中，向CuCl2溶液中加入少量氨水的反应应该是Cu^2+ + 2NH3·H2O === [Cu(NH3)2]^2+ + 2H2O，不会直接生成Cu(OH)2沉淀。
54,化学与人类生活、生产和社会可持续发展密切相关，下列说法正确的是,铝及其合金是电气、工业、家庭广泛使用的材料，通常用电解氯化铝的方法制取铝,DNOP(邻苯二甲酸二辛酯)是一种由邻苯二甲酸和正辛醇经酯化反应而得的一种酯类有,为测定熔融氢氧化钠的导电性，可将氢氧化钠固体放在石英坩埚中加热熔化,采取“静电除尘”、“燃煤固硫”、“汽车尾气催化净化”等方法，可提高空气质量,D,D
55,明代《天工开物》记载“火法”冶炼锌：“炉甘石十斤，装载入一泥罐内，……然后逐层用煤炭饼垫盛，其底铺薪，发火煅红，……冷淀，毁罐取出，……，即倭铅也”(注：泥罐中掺有煤炭)。下列说法不正确的是,煤炭中起作用的主要成分是C,倭铅是指金属锌和铅的混合物,炉甘石的主要成分为碳酸钙,该冶炼锌的方法属于热还原法,B,B
56,下列实验不能达到目的的是答,目的：加快氧气的生成速率。实验：在过氧化氢溶液中加入少量MnO2。,目的：除去乙酸乙酯中的少量乙酸。实验：加入饱和碳酸钠溶液洗涤、分液。,目的：制取较高浓度的次氯酸溶液。实验：将Cl2通入碳酸钠溶液中。,目的：制备少量二氧化硫气体。实验：向饱和亚硫酸钠溶液中滴加浓硫酸。,C,题目：下列实验不能达到目的的是A. 目的：加快氧气的生成速率。实验：在过氧化氢溶液中加入少量MnO2。B. 目的：除去乙酸乙酯中的少量乙酸。实验：加入饱和碳酸钠溶液洗涤、分液。C. 目的：制取较高浓度的次氯酸溶液。实验：将Cl2通入碳酸钠溶液中。D. 目的：制备少量二氧化硫气体。实验：向饱和亚硫酸钠溶液中滴加浓硫酸。答案是：C解析：C项中的实验不能达到目的。将氯气通入碳酸钠溶液中，主要发生的是氯气与水反应生成次氯酸的过程，并不会显著提高次氯酸的浓度，因为生成的次氯酸会继续与碳酸钠反应生成更稳定的次氯酸盐。而其他选项都能有效实现其目的。
57,下列有关说法正确的是,有单质参加的反应一定是氧化还原反应,酸性氧化物均与水反应生成对应的酸,石油裂解和裂化的目的相同,合成纤维和人造纤维通称化学纤维,D,D
58,设NA为阿伏加德罗常数的值，下列叙述正确的是,将含有1 mol FeCl3的浓溶液全部制成胶体，含Fe(OH)3胶粒的数目为NA,5.4g Al分别与含溶质0.2 mol的NaOH溶液、盐酸反应，生成H2分子数均为0.3NA,120 g熔融的NaHSO4中含阳离子总数为2NA,5.35 g NH4Cl固体中含有的N—H键个数为 0.4NA,D,D
59,设NA代表阿伏加德罗常数的值，下列说法正确的是,在标准状况下，11.2 L O2和22.4 L NO混合并充分反应后得到的气体的分子数为NA,常温常压下，30 g乙酸与30 g葡萄糖含有的氧原子数均为NA,3.65 g液态HCl中含有的粒子总数为0.2NA,常温下，将5.6 g Fe投入足量浓硝酸中，转移电子数为0.3NA,B,B解析如下：A. 在标准状况下，11.2 L O2和22.4 L NO混合并充分反应后得到的气体的分子数不一定是NA。因为2NO + O2 = 2NO2，11.2 L O2（即0.5 mol）可以完全反应掉22.4 L NO（即1 mol），生成0.5 mol NO2，所以得到的气体分子数为0.5NA。B. 正确。30 g乙酸的物质的量是\[ \frac{30g}{60g/mol} = 0.5mol \]，含有0.5NA个氧原子；30 g葡萄糖的物质的量是\[ \frac{30g}{180g/mol} = 0.167mol \]，含有0.167NA个氧原子，但两者相加后氧原子总数仍然是NA。C. 3.65 g液态HCl的物质的量是\[ \frac{3.65g}{36.5g/mol} = 0.1mol \]，含有的粒子总数为0.1NA。D. 常温下，Fe与浓硝酸反应生成的是Fe(NO3)3，反应方程式为\[ Fe + 6HNO_3 → Fe(NO_3)_3 + 3NO_2↑ + 3H_2O \]，每摩尔Fe转移5摩尔电子，5.6 g Fe（即0.1 mol）转移的电子数为0.5NA。
60,下列有关实验的叙述正确的是,酸式滴定管注入Na2CO3溶液之前应检查是否漏液,制备乙酸乙酯时，将乙醇和乙酸依次加入到浓硫酸中,用铂丝蘸取少量某溶液进行焰色反应，火焰呈黄色，该溶液一定是钠盐溶液,除去Fe(OH)3固体中少量的Mg(OH)2，加入足量饱和FeCl3溶液，充分搅拌后过滤,D,答案是：D解析：A. 酸式滴定管注入Na2CO3溶液之前应检查是否漏液 —— 正确的操作步骤，但不是唯一正确的选项。B. 制备乙酸乙酯时，将乙醇和乙酸依次加入到浓硫酸中 —— 正确的操作顺序应该是先加乙醇，再慢慢滴加乙酸，以控制反应速率。C. 用铂丝蘸取少量某溶液进行焰色反应，火焰呈黄色，该溶液一定是钠盐溶液 —— 焰色反应呈黄色的物质可能是钠盐，也可能是含钠的其他化合物，如氧化钠等，因此不能断定一定是钠盐溶液。D. 除去Fe(OH)3固体中少量的Mg(OH)2，加入足量饱和FeCl3溶液，充分搅拌后过滤 —— 这个方法是正确的，因为FeCl3会与Mg(OH)2反应生成难溶的MgCl2和Fe(OH)3沉淀，从而实现分离。
61,中国汉语文化博大精深，很多成语体现了化学知识。下列成语中涉及到的主要变化不是化学反应的是,铁杵磨针,饮鸩止渴,火上浇油,百炼成钢,A,A题目：中国汉语文化博大精深，很多成语体现了化学知识。下列成语中涉及到的主要变化不是化学反应的是A. 铁杵磨针B. 饮鸩止渴C. 火上浇油D. 百炼成钢答案是：A
62,有机化合物与我们的生活息息相关，下列说法正确的是,甲苯的硝化、油脂的皂化均可看作取代反应,石油裂解的目的是为了提高轻质液体燃料的产量和质量,棉花和合成纤维的主要成分是纤维素,蛋白质水解生成葡萄糖，放出热量，提供生命活动的能量,A,A题目：有机化合物与我们的生活息息相关，下列说法正确的是A. 甲苯的硝化、油脂的皂化均可看作取代反应B. 石油裂解的目的是为了提高轻质液体燃料的产量和质量C. 棉花和合成纤维的主要成分是纤维素D. 蛋白质水解生成葡萄糖，放出热量，提供生命活动的能量答案是：A
63,用重量法测定BaCl2·nH2O中结晶水数目的实验：准确称取7.91 g该晶体，加入适量盐酸，加热使其完全溶解，冷却，配制100 mL溶液。取20.00 mL该溶液，向其中滴加100 mL 0.05 mol·L^－1 Na2SO4溶液恰好使Ba2＋完全沉淀。n等于,4,2,8,6,D,"D解析如下：根据题意，发生的反应为：\[ \text{Ba}^{2+} + \text{SO}_4^{2-} \rightarrow \text{BaSO}_4 \]已知加入100 mL 0.05 mol·L^-1 的Na₂SO₄溶液恰好使Ba²⁺完全沉淀，因此生成的BaSO₄的物质的量为：\[ n(\text{BaSO}_4) = 0.1 L \times 0.05 \, \text{mol/L} = 0.005 \, \text{mol} \]因为Ba²⁺与BaCl₂·nH₂O中的Ba²⁺是一一对应的，所以BaCl₂·nH₂O的物质的量也为0.005 mol。根据BaCl₂·nH₂O的质量为7.91 g，可以计算出其摩尔质量M：\[ M = \frac{7.91 \, \text{g}}{0.005 \, \text{mol}} = 1582 \, \text{g/mol} \]而BaCl₂·nH₂O的理论摩尔质量应为：\[ \text{M}(BaCl_2 \cdot nH_2O) = \text{M}(BaCl_2) + n \times \text{M}(H_2O) = 208 + n \times 18 \]设n=6，则：\[ 208 + 6 \times 18 = 208 + 108 = 316 \, \text{g/mol} \]这显然不符合实际测量值1582 g/mol。继续验证其他选项，当n=8时：\[ 208 + 8 \times 18 = 208 + 144 = 352 \, \text{g/mol} \]仍然不符。继续验证n=4：\[ 208 + 4 \times 18 = 208 + 72 = 280 \, \text{g/mol} \]仍然不符。最后验证n=2：\[ 208 + 2 \times 18 = 208 + 36 = 24"
64,主族元素M、R形成的简单离子M2－与R＋的核外电子数之和为20。下列说法正确的是,M2－与R＋的电子层结构不可能相同,M与R结合形成的化合物中不可能含有共价键,M原子的质子数一定大于R原子的质子数,M可能存在^16 M、^18 M两种核素,D,D
65,下列有关事实及原理分析都正确的是,事实：碳酸氢钠常作发酵粉。原理：碳酸氢钠与面团中的有机酸反应产生CO2。,事实：铵态化肥和草木灰不能混用。原理：K2CO3与铵盐发生复分解反应。,事实：辽宁舰底部可以镶嵌一些铜块。原理：这种保护法叫牺牲阳极的阴极保护法。,事实：液化气灶具改天然气灶具，可以减少空气进入孔的孔径。原理：使天然气充分燃烧，避免生成CO和损失热量。,A,A题目：下列有关事实及原理分析都正确的是A. 事实：碳酸氢钠常作发酵粉。原理：碳酸氢钠与面团中的有机酸反应产生CO2。B. 事实：铵态化肥和草木灰不能混用。原理：K2CO3与铵盐发生复分解反应。C. 事实：辽宁舰底部可以镶嵌一些铜块。原理：这种保护法叫牺牲阳极的阴极保护法。D. 事实：液化气灶具改天然气灶具，可以减少空气进入孔的孔径。原理：使天然气充分燃烧，避免生成CO和损失热量。答案是：A
66,化学与生产、生活密切相关。下列说法正确的是,福尔马林可用于保存海鲜产品,工业上利用Cl2与澄清石灰水反应制取漂白粉,天然纤维和合成纤维的主要成分是纤维素,硅胶吸附能力强，常用作催化剂载体和食品干燥剂,D,D
67,足量下列物质与相同质量的铝反应，放出氢气且消耗溶质物质的量最少的是,稀硫酸,稀硝酸,氢氧化钠溶液,盐酸,C,题目：足量下列物质与相同质量的铝反应，放出氢气且消耗溶质物质的量最少的是A. 稀硫酸B. 稀硝酸C. 氢氧化钠溶液D. 盐酸答案是：B
68,常温常压下，某烧碱溶液与0.05 mol氯气恰好完全反应，得到pH＝9的混合溶液(溶质为NaCl与NaClO)。下列说法正确的是(NA代表阿伏加德罗常数的值,氯气的体积为1.12 L,所得溶液中ClO－的数目为0.05NA,所得溶液中含OH－的数目为1×10^－5NA,原烧碱溶液中含溶质离子数为0.2NA,D,B解析如下：- **选项A** 错误，因为氯气在标准状况下的体积为1.12 L时，其物质的量为0.05 mol，但题目中并未说明是在标准状况下，因此不能直接得出体积。- **选项B** 正确，0.05 mol的Cl2与烧碱反应生成0.05 mol的ClO⁻。- **选项C** 错误，因为pH=9的溶液中OH⁻的浓度为\(10^{-5}\) mol/L，但无法直接得出具体数目为\(1 \times 10^{-5} NA\)，需要知道总体积。- **选项D** 错误，由于没有给出原烧碱溶液的体积，无法直接计算出溶质离子数。综上所述，正确答案是B。
69,设NA代表阿伏加德罗常数的值，下列说法正确的是,22.4 L CO和CO2的混合气体中所含的碳原子数一定是NA,标准状况下，22.4 L丙烷所含共用电子对数为8NA,常温常压下，32 g O2和32 g O3所含氧原子数都是2NA,80 °C时，1 L pH＝1的硫酸溶液中，含有的OH－数目为10^－13NA,C,C
70,设NA为阿伏加德罗常数。下列说法正确的是,常温常压下，11.2L CO2与足量Na2O2反应转移的电子数为0.5 NA,常温常压下，20g D2O分子中所含中子数为10 NA,0.1mol FeCl3水解生成的Fe(OH)3胶粒数为0.1NA,将lmol Cl2通人水中，HC1O、Cl-、C1O-粒子数之和为2 NA,B,B解析如下：A. 在标准状况下（0℃，101kPa），11.2L CO2的物质的量为0.5mol，但这里条件未明确指出是标准状况，且即使是在标准状况下，CO2与Na2O2反应转移的电子数也不一定是0.5NA，因为反应过程中还涉及到氧气的参与，具体数值需要根据实际情况计算。B. 20g D2O的物质的量为20g / (2*2 + 16) g/mol = 1mol。D2O中的中子数为2个（D的质子数为1，中子数为1；O的质子数为8，中子数为8，但D2O中O的中子数为7，因为D2O中的氧原子为同位素氧-17）。因此，20g D2O中含有2NA个中子。C. FeCl3水解生成的Fe(OH)3胶粒数受多种因素影响，包括温度、pH值等，不能简单地说是0.1NA。D. 将1mol Cl2通入水中，由于部分氯气溶于水并与水反应生成HClO、Cl-和ClO-，但并非所有的氯气都能完全反应，所以最终粒子数之和不会达到2NA。综上所述，只有B选项的说法是正确的。
71,设NA为阿伏加德罗常数的值，下列叙述正确的是,以Mg、Al为电极，NaOH溶液为电解质溶液的原电池中，导线上流过NA个电子，则正极放出H2的体积为11.2 L,含1 mol H2SO4的浓硫酸和足量的锌完全反应，转移的电子数为2NA,标准状况下2.24 L己烷分子中含有1.9NA对共用电子,常温下1 L 0.1 mol·L^－1 NH4NO3溶液中的氮原子数为0.2NA,D,D
72,下列有关物质变化的说法正确的是,将盛有NO2气体的密封烧瓶，放入热水中气体颜色加深的变化是物理变化,熔融态的Al2O3导电、12C转化为14C都属于化学变化,一定条件下石墨转化为C60是化学变化,根据反应中的能量变化，将化学反应分为“化合、分解、复分解、置换”四类,C,C题目：下列有关物质变化的说法正确的是A. 将盛有NO2气体的密封烧瓶，放入热水中气体颜色加深的变化是物理变化B. 熔融态的Al2O3导电、12C转化为14C都属于化学变化C. 一定条件下石墨转化为C60是化学变化D. 根据反应中的能量变化，将化学反应分为“化合、分解、复分解、置换”四类答案是：C
73,下列有关物质及成分、性质和用途都正确的是,物质及成分：磁性氧化铁(Fe2O3)。性质：难溶于水，红色。用途：制造红色涂料。,物质及成分：小苏打(Na2CO3)。性质：与酸反应产生二氧化碳。用途：作发酵粉。,物质及成分：蓝矾(CuSO4·5H2O)。性质：蓝色。用途：检验水蒸气。,物质及成分：二氧化硫(SO2)。性质：能和某些有色物质反应生成无色物质。用途：漂白草织品。,D,D题目解析如下：A. 物质及成分：磁性氧化铁(Fe2O3)。性质：难溶于水，红色。用途：制造红色涂料。- 错误，磁性氧化铁的化学式应该是Fe3O4，不是Fe2O3。B. 物质及成分：小苏打(Na2CO3)。性质：与酸反应产生二氧化碳。用途：作发酵粉。- 错误，小苏打的化学式应该是NaHCO3。C. 物质及成分：蓝矾(CuSO4·5H2O)。性质：蓝色。用途：检验水蒸气。- 错误，蓝矾的性质应为蓝色晶体，但其主要用途是作为分析试剂，而非检验水蒸气。D. 物质及成分：二氧化硫(SO2)。性质：能和某些有色物质反应生成无色物质。用途：漂白草织品。- 正确，二氧化硫确实可以用于漂白织物等物品。
